Customer ID,Customer Name,Prospect,Inactive,Bill to Contact First Name,Bill to Contact Last Name,Bill to Address-Line One,Bill to Address-Line Two,Bill to City,Bill to State,Bill to Zip,Bill to Country,Bill to Sales Tax ID,Ship to Address 1-Line One,Ship to Address 1-Line Two,Ship to City 1,Ship to State 1,Ship to Zipcode 1,Ship to Country 1,Ship to Sales Tax ID 1,Customer Type,Telephone 1,Telephone 2,Fax Number,Customer E-mail,Sales Representative ID,Account #,G/L Sales Account,Open Purchase Order Number,Ship Via,Resale Number,Pricing Level,Use Standard Terms,C.O.D. Terms,Prepaid Terms,Terms Type,Due Days,Discount Days,Discount Percent,Credit Limit,Credit Status,Charge Finance Charges,Due Month End Terms,Cardholder's Name,Credit Card Address Line 1,Credit Card Address Line 2,Credit Card City,Credit Card State,Credit Card Zip Code,Credit Card Country,Credit Card Stored Reference,Merchant ID,Last Known CC Number,Last Known CC Expiration Date,Use Receipt Settings,Customer Payment Method,Customer Cash Account,Sales Contact,Lawn Care Srvc?,Monthly Service?,Qtrly Mailing?,Referral,Customer Since Date,Last Statement Date,Customer Web Site,ID Replacement
ALDRED,"Aldred Builders, Inc.",FALSE,FALSE,Tony,Aldred,412 Sever Rd,,Norcross,GA,30092,,GAGWINN,412 Sever Rd,,Norcross,GA,30092,,GAGWINN,LAND,770-555-0654,770-555-0655,770-555-0656,taldred@sample.sage.com,DGROSS,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,Tony Aldred,123 Main St,,Fairfax,VA,00000,,{C35E9DF3-1B45-494B-9E86-98A68FCE53A9},754112461931,XXXXXXXXXXXX1111,12/2019,TRUE,,,,Yes,Yes,Yes,Internet,3/15/12,,www.sage50accounting.com,0
ARCHER,Archer Scapes and Ponds,FALSE,FALSE,Nancy,Archer,778 Oakland Parkway,,Alpharetta,GA,30092,,GACHER,778 Oakland Parkway,,Alpharetta,GA,30092,,GACHER,LAND,770-555-4660,770-555-4661,770-555-4662,narcher@sample.sage.com,BNUNNLEY,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,Nancy Arch,778 Oakland Parkway,,Alpharetta,GA,30092,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Susan Lord,No,Yes,Yes,Internet,1/11/08,,www.sage50accounting.com,0
ARMSTRONG,Armstrong Landscaping,FALSE,FALSE,Emma,Armstrong,2300 Club Drive,Suite A,Norcross,GA,30093,,GAGWINN,2300 Club Drive,Suite A,Norcross,GA,30093,,GAGWINN,LAND,770-555-8824,770-555-8825,770-555-8826,earmstrong@sample.sage.com,MCHAMBERLIN,,40000-00,,0,,0,FALSE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,0,TRUE,FALSE,Emma Armstrong,2300 Club Drive,Suite A,Norcross,GA,30093,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Jeff Gillespie,No,No,Yes,Internet,1/11/08,,www.sage50accounting.com,0
CANNON,Cannon Healthcare Center,FALSE,FALSE,Natasha,Cannon,2300 Club Drive,Suite C,Norcross,GA,30093,,GAGWINN,2300 Club Drive,Suite C,Norcross,GA,30093,,GAGWINN,LAND,770-555-4128,770-555-4129,770-555-4130,ncannon@sample.sage.com,CSWINTON,,40000-00,,0,,0,FALSE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,2,TRUE,FALSE,Natasha Cannon,2300 Club Drive,Suite C,Norcross,GA,30093,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,"Nakkia Cooper, M.D.",Yes,Yes,Yes,Customer: Jeremy Spencer,1/11/08,,www.sage50accounting.com,0
CHAPPLE,Chapple Law Offices,FALSE,FALSE,Francis,Chapple,12554 Lawrenceville Hwy.,,Lilburn,GA,30095-1120,,GAGWINN,12554 Lawrenceville Hwy.,,Lilburn,GA,30095-1120,,GAGWINN,LAND,770-555-8858,770-555-8859,770-555-8860,fchapple@sample.sage.com,DGROSS,,40000-00,56123,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,Frances Chapple,12554 Lawrenceville Hwy.,,Lilburn,GA,30095-1120,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Larry Murphy,Yes,Yes,Yes,Internet,1/11/08,,www.sage50accounting.com,0
CUMMINGS,Cummings Construction,FALSE,FALSE,Betty,Cummings,4785 Satellite Road,,Duluth,GA,30093,,GAGWINN,4785 Satellite Road,,Duluth,GA,30093,,GAGWINN,LAND,770-555-1147,770-555-1148,770-555-1149,bcummings@sample.sage.com,CSWINTON,,40000-00,,0,,0,FALSE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,4,TRUE,FALSE,Betty Cummings,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Jim Cummings,No,No,Yes,Internet,1/11/08,3/15/12,www.sage50accounting.com,0
DASH,Dash Business Systems,FALSE,FALSE,McKenzie,Dash,1448 Steve Reynolds Blvd.,,Norcross,GA,30093,,GAGWINN,1448 Steve Reynolds Blvd.,,Norcross,GA,30093,,GAGWINN,LAND,770-555-9988,770-555-9989,770-555-9990,mdash@sample.sage.com,CSWINTON,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,McKenzie Dash,1448 Steve Reynolds Blvd.,,Norcross,GA,30093,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Judy Knight,Yes,Yes,Yes,Customer: Mason Office Park,1/11/08,2/15/12,www.sage50accounting.com,0
EVERLY,Everly Property Management,FALSE,FALSE,Lee,Everly,4558 Pleasant Hill Road,,Duluth,GA,30092,,GAGWINN,4558 Pleasant Hill Road,,Duluth,GA,30092,,GAGWINN,LAND,770-555-6660,770-555-6661,770-555-6662,leverly@sample.sage.com,LSWEET,,40000-00,,0,,0,FALSE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,0,TRUE,FALSE,Lee Everly,4558 Pleasant Hill Road,,Duluth,GA,30092,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Lance Becklof,Yes,Yes,Yes,Employee: Steve Barten,1/11/08,3/15/12,www.sage50accounting.com,0
FRANKLIN,Franklin Botanical Gardens,FALSE,FALSE,George,Franklin,4589 East Jefferson Blvd.,,Alpharetta,GA,30004,,GAFULTON,4589 East Jefferson Blvd.,,Alpharetta,GA,30004,,GAFULTON,PROSPECT,770 555-9598,770 555-8181,770 555-8772,gfranklin@sample.sage.com,DGROSS,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,Allison Franklin,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,,,,,,3/15/16,,www.sage50accounting.com,0
FREEMOND,Freemond Country Club,FALSE,FALSE,Delores,Freemond,9845 Willow Trail Dr,,Norcross,GA,30093,,GAGWINN,9845 Willow Trail Dr,,Norcross,GA,30093,,GAGWINN,LAND,770-555-8967,770-555-8968,770-555-8969,dfreemond@sample.sage.com,SPRICHARD,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,Delores Freemond,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Mark Johnson,No,Yes,Yes,Internet,1/11/08,2/15/12,www.sage50accounting.com,0
FROST,Frost Technology Park,FALSE,FALSE,Kyle,Frost,1492 Indian Trail,,Norcross,GA,30093,,GAGWINN,1492 Indian Trail,,Norcross,GA,30093,,GAGWINN,LAND,770-555-4153,770-555-4154,770-555-4155,kfrost@sample.sage.com,DGROSS,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,Kevin Foreman,Yes,Yes,Yes,Internet,1/11/08,,www.sage50accounting.com,0
GOLDEN,Golden Gardens,TRUE,FALSE,Mike,Baxter,9861 Hidden Valley Trail,,Atlanta,GA,30018,,GAFULTON,9861 Hidden Valley Trail,,Atlanta,GA,30018,,GAFULTON,PROSPECT,404 555-7763,404 555-1596,404 555-4445,mbaxter@sample.sage.com,CSWINTON,,40000-00,,0,,0,TRUE,FALSE,FALSE,FALSE,30,10,2.00000,50000.00,1,TRUE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},754112461931,,,TRUE,,,,,,,,3/15/16,,www.sage50accounting.com,0
